date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
11/26/14,0,0,0,333.57,334.65,26-Nov-14,331.75,333.78,AMZN,333.57,334.65,331.75,333.78,1985949,1985949
11/28/14,5.07,0.015199,1.5199,338.64,341.26,28-Nov-14,336.03,336.03,AMZN,338.64,341.26,336.03,336.03,3051798,3051798
12/1/14,-12.64,-0.022694,-3.7326,326,340.64,1-Dec-14,325.93,338.12,AMZN,326,340.64,325.93,338.12,4944861,4944861
12/2/14,0.31,-0.021765,0.0951,326.31,327.93,2-Dec-14,323.25,327.5,AMZN,326.31,327.93,323.25,327.5,2790257,2790257
12/3/14,-9.81,-0.051174,-3.0063,316.5,326.77,3-Dec-14,314.36,325.73,AMZN,316.5,326.77,314.36,325.73,5689904,5689904
12/4/14,0.43,-0.049885,0.1359,316.93,318.59,4-Dec-14,313.47,315.53,AMZN,316.93,318.59,313.47,315.53,3296642,3296642
12/5/14,-4.3,-0.062775,-1.3568,312.63,316.93,5-Dec-14,310.84,316.8,AMZN,312.63,316.93,310.84,316.8,3265214,3265214
12/8/14,-5.99,-0.080733,-1.916,306.64,316.56,8-Dec-14,304.82,311.57,AMZN,306.64,316.56,304.82,311.57,3639180,3639180
12/9/14,5.86,-0.063165,1.911,312.5,313.64,9-Dec-14,301.14,302.99,AMZN,312.5,313.64,301.14,302.99,4049506,4049506
12/10/14,-6.66,-0.083131,-2.1312,305.84,313.19,10-Dec-14,304.68,312,AMZN,305.84,313.19,304.68,312,3245890,3245890
12/11/14,1.52,-0.078574,0.497,307.36,312.64,11-Dec-14,306.01,307.89,AMZN,307.36,312.64,306.01,307.89,3272919,3272919
12/12/14,-0.04,-0.078694,-0.013,307.32,310.64,12-Dec-14,303.01,303.99,AMZN,307.32,310.64,303.01,303.99,3162322,3162322
12/15/14,-1.25,-0.082441,-0.4067,306.07,310.86,15-Dec-14,302.15,308.87,AMZN,306.07,310.86,302.15,308.87,3841577,3841577
12/16/14,-11.01,-0.115448,-3.5972,295.06,304.49,16-Dec-14,295.01,304.35,AMZN,295.06,304.49,295.01,304.35,6501252,6501252
12/17/14,3.82,-0.103996,1.2947,298.88,299.67,17-Dec-14,293.03,296.37,AMZN,298.88,299.67,293.03,296.37,4433505,4433505
12/18/14,-1.15,-0.107444,-0.3848,297.73,304.5,18-Dec-14,293.25,304.01,AMZN,297.73,304.5,293.25,304.01,7738067,7738067
12/19/14,2.17,-0.100938,0.7288,299.9,301.54,19-Dec-14,295.52,296.91,AMZN,299.9,301.54,295.52,296.91,8709129,8709129
12/22/14,6.64,-0.081032,2.2141,306.54,307.36,22-Dec-14,301.94,301.94,AMZN,306.54,307.36,301.94,301.94,4003827,4003827
12/23/14,-0.255,-0.081797,-0.0832,306.29,307.49,23-Dec-14,303.25,306.98,AMZN,306.29,307.49,303.25,306.98,2718359,2718359
