date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
11/26/14,0,0,0,538.89,540.07,26-Nov-14,535.57,539.4,GOOG,540.37,541.55,537.04,540.88,1519503,1523675
11/28/14,1.46,0.002702,0.2702,540.35,540.52,28-Nov-14,535.13,539.14,GOOG,541.83,542,536.6,540.62,1145231,1148375
12/1/14,-8.01,-0.012158,-1.482,532.34,539.93,1-Dec-14,530.4,537.42,GOOG,533.8,541.41,531.86,538.9,2109599,2115391
12/2/14,-0.0498,-0.012251,-0.0094,532.29,534.03,2-Dec-14,528.35,532.05,GOOG,533.75,535.5,529.8,533.51,1522481,1526661
12/3/14,-2.42,-0.016748,-0.4553,529.87,534.53,3-Dec-14,527.81,529.98,GOOG,531.32,536,529.26,531.44,1279288,1282800
12/4/14,5.97,-0.005663,1.1274,535.84,535.87,4-Dec-14,527.14,529.71,GOOG,537.31,537.34,528.59,531.16,1392208,1396030
12/5/14,-12.02,-0.027962,-2.2427,523.82,531.43,5-Dec-14,522.84,529.55,GOOG,525.26,532.89,524.28,531,2558649,2565674
12/8/14,1.72,-0.024779,0.3275,525.54,529.55,8-Dec-14,522.36,525.69,GOOG,526.98,531,523.79,527.13,2327127,2333516
12/9/14,6.37,-0.012954,1.2126,531.91,532.73,9-Dec-14,519.07,520.71,GOOG,533.37,534.19,520.5,522.14,1871268,1876406
12/10/14,-7.29,-0.026482,-1.3705,524.62,534.86,10-Dec-14,524.12,531.62,GOOG,526.06,536.33,525.56,533.08,1716835,1721549
12/11/14,2.27,-0.022262,0.4334,526.89,532.46,11-Dec-14,525.66,526.35,GOOG,528.34,533.92,527.1,527.8,1610964,1615387
12/12/14,-9.65,-0.040176,-1.8322,517.24,527.05,12-Dec-14,517.24,522.08,GOOG,518.66,528.5,518.66,523.51,1989117,1994578
12/15/14,-4.85,-0.04917,-0.937,512.39,521.67,15-Dec-14,511.86,521.31,GOOG,513.8,523.1,513.27,522.74,2812786,2820509
12/16/14,-18.36,-0.083239,-3.5831,494.03,511.65,16-Dec-14,487.66,510.16,GOOG,495.39,513.05,489,511.56,3953371,3964225
12/17/14,9.47,-0.065659,1.9177,503.51,505.61,17-Dec-14,495.45,495.64,GOOG,504.89,507,496.81,497,2875281,2883175
12/18/14,6.19,-0.054166,1.23,509.7,512.46,18-Dec-14,503.32,511.55,GOOG,511.1,513.87,504.7,512.95,2918730,2926743
12/19/14,5.24,-0.044451,1.0272,514.94,516.3,19-Dec-14,505.52,510.11,GOOG,516.35,517.72,506.91,511.51,3680148,3690252
12/22/14,8.5,-0.028684,1.65,523.43,525.02,22-Dec-14,514.67,514.67,GOOG,524.87,526.46,516.08,516.08,2723599,2731077
12/23/14,5.7,-0.018098,1.0898,529.14,533.1,23-Dec-14,524.85,525.56,GOOG,530.59,534.56,526.29,527,2191567,2197584
12/24/14,-1.81,-0.021467,-0.343,527.32,530.3,24-Dec-14,525.58,529.06,GOOG,528.77,531.76,527.02,530.51,704035,705968
12/26/14,5.25,-0.011732,0.9948,532.57,532.79,26-Dec-14,525.87,527.32,GOOG,534.03,534.25,527.31,528.77,1037727,1040576
12/29/14,-3.69,-0.01858,-0.6929,528.88,534.01,29-Dec-14,528.56,530.73,GOOG,530.33,535.48,530.01,532.19,2276104,2282353
12/30/14,0.0897,-0.018413,0.017,528.97,529.7,30-Dec-14,525.69,526.64,GOOG,530.42,531.15,527.13,528.09,873923,876322
12/31/14,-4.01,-0.025853,-0.7579,524.96,531.14,31-Dec-14,524.36,529.8,GOOG,526.4,532.6,525.8,531.25,1371819,1375585
1/2/15,-1.59,-0.028795,-0.302,523.37,529.82,2-Jan-15,522.67,527.56,GOOG,524.81,531.27,524.1,529.01,1446662,1450634
1/5/15,-10.91,-0.04904,-2.0846,512.46,522.89,5-Jan-15,511.66,521.83,GOOG,513.87,524.33,513.06,523.26,2054238,2059878
1/6/15,-11.88,-0.071081,-2.3177,500.59,514.76,6-Jan-15,499.68,513.59,GOOG,501.96,516.17,501.05,515,2891950,2899890
1/7/15,-0.8576,-0.072672,-0.1713,499.73,505.86,7-Jan-15,498.28,505.61,GOOG,501.1,507.24,499.65,507,2059366,2065020
1/8/15,1.58,-0.069748,0.3153,501.3,502.1,8-Jan-15,489.66,496.63,GOOG,502.68,503.48,491,497.99,3344395,3353577
1/9/15,-6.49,-0.081796,-1.2951,494.81,503.54,9-Jan-15,493.44,503.38,GOOG,496.17,504.92,494.79,504.76,2065715,2071386
1/12/15,-3.61,-0.088495,-0.7296,491.2,494.62,12-Jan-15,486.23,493.58,GOOG,492.55,495.98,487.56,494.94,2320446,2326817
1/13/15,3.62,-0.081777,0.737,494.82,501.6,13-Jan-15,491.04,497.47,GOOG,496.18,502.98,492.39,498.84,2365687,2372182
1/14/15,4.68,-0.073098,0.9452,499.5,501.85,14-Jan-15,491.65,493.3,GOOG,500.87,503.23,493,494.65,2229638,2235760
1/15/15,0.9175,-0.071395,0.1837,500.42,504.3,15-Jan-15,496.4,504.19,GOOG,501.79,505.68,497.76,505.57,2711355,2718799
