date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
11/26/14,0,0,0,547.73,549.88,26-Nov-14,545.23,549.23,GOOGL,547.73,549.88,545.23,549.23,1480294,1480294
11/28/14,1.35,0.002465,0.2465,549.08,549.6,28-Nov-14,544.48,547,GOOGL,549.08,549.6,544.48,547,1210061,1210061
12/1/14,-9.43,-0.014752,-1.7174,539.65,548.79,1-Dec-14,538.62,545.09,GOOGL,539.65,548.79,538.62,545.09,1994399,1994399
12/2/14,-1.06,-0.016687,-0.1964,538.59,541.85,2-Dec-14,534.66,539.45,GOOGL,538.59,541.85,534.66,539.45,2073974,2073974
12/3/14,-1.62,-0.019645,-0.3008,536.97,541.41,3-Dec-14,535.21,537.5,GOOGL,536.97,541.41,535.21,537.5,1623977,1623977
12/4/14,5.61,-0.009402,1.0448,542.58,542.69,4-Dec-14,534.89,537.64,GOOGL,542.58,542.69,534.89,537.64,1633688,1633688
12/5/14,-14.5,-0.035875,-2.6724,528.08,538.2,5-Dec-14,527.26,536.7,GOOGL,528.08,538.2,527.26,536.7,3070118,3070118
12/8/14,2.65,-0.031037,0.5018,530.73,533.82,8-Dec-14,527,529.22,GOOGL,530.73,533.82,527,529.22,3231818,3231818
12/9/14,5.38,-0.021215,1.0137,536.11,536.65,9-Dec-14,523.41,525.88,GOOGL,536.11,536.65,523.41,525.88,2168813,2168813
12/10/14,-8.07,-0.035948,-1.5053,528.04,539.36,10-Dec-14,527.49,535.9,GOOGL,528.04,539.36,527.49,535.9,2316204,2316204
12/11/14,4.07,-0.028518,0.7708,532.11,537.04,11-Dec-14,529.16,530.01,GOOGL,532.11,537.04,529.16,530.01,2073290,2073290
12/12/14,-10.6,-0.04787,-1.9921,521.51,532.24,12-Dec-14,521.46,527.44,GOOGL,521.51,532.24,521.46,527.44,2371543,2371543
12/15/14,-5.67,-0.058222,-1.0872,515.84,525.37,15-Dec-14,515.4,523.76,GOOGL,515.84,525.37,515.4,523.76,2621977,2621977
12/16/14,-17.68,-0.090501,-3.4274,498.16,515.58,16-Dec-14,497.19,513.6,GOOGL,498.16,515.58,497.19,513.6,4349882,4349882
12/17/14,8.29,-0.075366,1.6641,506.45,509.07,17-Dec-14,499.11,499.86,GOOGL,506.45,509.07,499.11,499.86,3639437,3639437
