date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
11/26/14,0,0,0,47.75,47.99,26-Nov-14,47.28,47.49,MSFT,47.75,47.99,47.28,47.49,27164877,27164877
11/28/14,0.06,0.001257,0.1257,47.81,48.2,28-Nov-14,47.61,47.95,MSFT,47.81,48.2,47.61,47.95,21534426,21534426
12/1/14,0.81,0.01822,1.6942,48.62,48.78,1-Dec-14,47.71,47.88,MSFT,48.62,48.78,47.71,47.88,31191575,31191575
12/2/14,-0.16,0.014869,-0.3291,48.46,49.05,2-Dec-14,48.2,48.84,MSFT,48.46,49.05,48.2,48.84,25773478,25773478
12/3/14,-0.38,0.006911,-0.7842,48.08,48.5,3-Dec-14,47.81,48.44,MSFT,48.08,48.5,47.81,48.44,23534752,23534752
12/4/14,0.76,0.022827,1.5807,48.84,49.06,4-Dec-14,48.2,48.39,MSFT,48.84,49.06,48.2,48.39,30345132,30345132
12/5/14,-0.42,0.014031,-0.86,48.42,48.97,5-Dec-14,48.38,48.82,MSFT,48.42,48.97,48.38,48.82,27313449,27313449
12/8/14,-0.725,-0.001152,-1.4973,47.7,48.35,8-Dec-14,47.45,48.26,MSFT,47.7,48.35,47.45,48.26,26663107,26663107
12/9/14,-0.105,-0.003351,-0.2201,47.59,47.92,9-Dec-14,47.05,47.11,MSFT,47.59,47.92,47.05,47.11,24330506,24330506
12/10/14,-0.69,-0.017801,-1.4499,46.9,47.66,10-Dec-14,46.7,47.58,MSFT,46.9,47.66,46.7,47.58,30431788,30431788
12/11/14,0.27,-0.012147,0.5757,47.17,47.74,11-Dec-14,46.68,47.08,MSFT,47.17,47.74,46.68,47.08,29061918,29061918
12/12/14,-0.22,-0.016754,-0.4664,46.95,47.73,12-Dec-14,46.67,46.78,MSFT,46.95,47.73,46.67,46.78,34248371,34248371
12/15/14,-0.28,-0.022618,-0.5964,46.67,47.67,15-Dec-14,46.55,47.2,MSFT,46.67,47.67,46.55,47.2,29247761,29247761
12/16/14,-1.51,-0.054241,-3.2355,45.16,46.34,16-Dec-14,45.13,45.9,MSFT,45.16,46.34,45.13,45.9,47801392,47801392
12/17/14,0.58,-0.042094,1.2843,45.74,45.95,17-Dec-14,44.9,45.05,MSFT,45.74,45.95,44.9,45.05,34970865,34970865
12/18/14,1.78,-0.004817,3.8916,47.52,47.52,18-Dec-14,46.34,46.58,MSFT,47.52,47.52,46.34,46.58,40105550,40105550
12/19/14,0.14,-0.001885,0.2946,47.66,48.1,19-Dec-14,47.17,47.63,MSFT,47.66,48.1,47.17,47.63,64551182,64551182
12/22/14,0.32,0.004817,0.6714,47.98,48.12,22-Dec-14,47.71,47.78,MSFT,47.98,48.12,47.71,47.78,26565984,26565984
12/23/14,0.47,0.01466,0.9796,48.45,48.8,23-Dec-14,48.13,48.37,MSFT,48.45,48.8,48.13,48.37,23656529,23656529
12/24/14,-0.31,0.008168,-0.6398,48.14,48.64,24-Dec-14,48.08,48.64,MSFT,48.14,48.64,48.08,48.64,11442790,11442790
12/26/14,-0.26,0.002723,-0.5401,47.88,48.41,26-Dec-14,47.82,48.41,MSFT,47.88,48.41,47.82,48.41,13197817,13197817
12/29/14,-0.43,-0.006283,-0.8981,47.45,47.78,29-Dec-14,47.26,47.7,MSFT,47.45,47.78,47.26,47.7,14439518,14439518
12/30/14,-0.43,-0.015288,-0.9062,47.02,47.62,30-Dec-14,46.84,47.44,MSFT,47.02,47.62,46.84,47.44,16384692,16384692
12/31/14,-0.57,-0.027225,-1.2123,46.45,47.44,31-Dec-14,46.45,46.73,MSFT,46.45,47.44,46.45,46.73,21552450,21552450
1/2/15,0.31,-0.020733,0.6674,46.76,47.42,2-Jan-15,46.54,46.66,MSFT,46.76,47.42,46.54,46.66,27913852,27913852
1/5/15,-0.435,-0.029843,-0.9303,46.33,46.73,5-Jan-15,46.25,46.37,MSFT,46.33,46.73,46.25,46.37,39673865,39673865
1/6/15,-0.675,-0.043979,-1.4571,45.65,46.75,6-Jan-15,45.54,46.38,MSFT,45.65,46.75,45.54,46.38,36447854,36447854
1/7/15,0.58,-0.031832,1.2705,46.23,46.46,7-Jan-15,45.49,45.98,MSFT,46.23,46.46,45.49,45.98,29114061,29114061
1/8/15,1.36,-0.003351,2.9418,47.59,47.75,8-Jan-15,46.72,46.75,MSFT,47.59,47.75,46.72,46.75,29645202,29645202
1/9/15,-0.4,-0.011728,-0.8405,47.19,47.82,9-Jan-15,46.9,47.61,MSFT,47.19,47.82,46.9,47.61,23944181,23944181
1/12/15,-0.59,-0.024084,-1.2503,46.6,47.54,12-Jan-15,46.36,47.42,MSFT,46.6,47.54,46.36,47.42,23651887,23651887
1/13/15,-0.245,-0.029215,-0.5258,46.36,47.91,13-Jan-15,46.06,46.97,MSFT,46.36,47.91,46.06,46.97,35270601,35270601
1/14/15,-0.4,-0.037592,-0.8629,45.96,46.24,14-Jan-15,45.62,45.96,MSFT,45.96,46.24,45.62,45.96,29719580,29719580
1/15/15,-0.475,-0.047539,-1.0336,45.48,46.38,15-Jan-15,45.41,46.22,MSFT,45.48,46.38,45.41,46.22,32750779,32750779
1/16/15,0.76,-0.031623,1.6711,46.24,46.28,16-Jan-15,45.17,45.31,MSFT,46.24,46.28,45.17,45.31,35695289,35695289
1/20/15,0.15,-0.028482,0.3244,46.39,46.65,20-Jan-15,45.57,46.3,MSFT,46.39,46.65,45.57,46.3,36161860,36161860
1/21/15,-0.47,-0.038325,-1.0131,45.92,46.14,21-Jan-15,45.48,45.94,MSFT,45.92,46.14,45.48,45.94,39081143,39081143
1/22/15,1.21,-0.012984,2.635,47.13,47.14,22-Jan-15,46.08,46.38,MSFT,47.13,47.14,46.08,46.38,35898035,35898035
1/23/15,0.05,-0.011937,0.1061,47.18,47.39,23-Jan-15,46.8,47.36,MSFT,47.18,47.39,46.8,47.36,26211594,26211594
1/26/15,-0.17,-0.015497,-0.3603,47.01,47.13,26-Jan-15,46.24,47,MSFT,47.01,47.13,46.24,47,42525530,42525530
1/27/15,-4.35,-0.106597,-9.2534,42.66,43.2,27-Jan-15,42.11,42.95,MSFT,42.66,43.2,42.11,42.95,169163953,169163953
1/28/15,-1.47,-0.137382,-3.4459,41.19,42.79,28-Jan-15,41.16,42.74,MSFT,41.19,42.79,41.16,42.74,84507078,84507078
1/29/15,0.82,-0.120209,1.9908,42.01,42.12,29-Jan-15,40.79,40.93,MSFT,42.01,42.12,40.79,40.93,63585273,63585273
1/30/15,-1.61,-0.153927,-3.8324,40.4,41.58,30-Jan-15,40.35,41.55,MSFT,40.4,41.58,40.35,41.55,78004944,78004944
2/2/15,0.88,-0.135497,2.1782,41.28,41.37,2-Feb-15,40.23,40.59,MSFT,41.28,41.37,40.23,40.59,50352532,50352532
2/3/15,0.32,-0.128796,0.7752,41.6,41.93,3-Feb-15,41.05,41.63,MSFT,41.6,41.93,41.05,41.63,52082448,52082448
2/4/15,0.24,-0.12377,0.5769,41.84,42.21,4-Feb-15,41.36,41.94,MSFT,41.84,42.21,41.36,41.94,41614812,41614812
2/5/15,0.61,-0.110995,1.4579,42.45,42.64,5-Feb-15,41.86,42.22,MSFT,42.45,42.64,41.86,42.22,36548168,36548168
