date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
11/26/14,0,0,0,119,119.1,26-Nov-14,117.83,117.94,AAPL,119,119.1,117.83,117.94,40831886,40831886
11/28/14,-0.07,-0.000588,-0.0588,118.93,119.4,28-Nov-14,118.05,119.27,AAPL,118.93,119.4,118.05,119.27,24814402,24814402
12/1/14,-3.86,-0.033025,-3.2456,115.07,119.25,1-Dec-14,111.27,118.81,AAPL,115.07,119.25,111.27,118.81,83814037,83814037
12/2/14,-0.44,-0.036723,-0.3824,114.63,115.75,2-Dec-14,112.75,113.5,AAPL,114.63,115.75,112.75,113.5,59348940,59348940
12/3/14,1.3,-0.025798,1.1341,115.93,116.35,3-Dec-14,115.11,115.75,AAPL,115.93,116.35,115.11,115.75,43063440,43063440
12/4/14,-0.44,-0.029496,-0.3795,115.49,117.2,4-Dec-14,115.29,115.77,AAPL,115.49,117.2,115.29,115.77,42155776,42155776
12/5/14,-0.49,-0.033613,-0.4243,115,116.08,5-Dec-14,114.64,115.99,AAPL,115,116.08,114.64,115.99,38318895,38318895
12/8/14,-2.6,-0.055462,-2.2609,112.4,114.65,8-Dec-14,111.62,114.1,AAPL,112.4,114.65,111.62,114.1,57664850,57664850
12/9/14,1.72,-0.041008,1.5302,114.12,114.3,9-Dec-14,109.35,110.19,AAPL,114.12,114.3,109.35,110.19,60208036,60208036
12/10/14,-2.17,-0.059244,-1.9015,111.95,114.85,10-Dec-14,111.54,114.41,AAPL,111.95,114.85,111.54,114.41,44565318,44565318
12/11/14,-0.33,-0.062017,-0.2948,111.62,113.8,11-Dec-14,111.34,112.26,AAPL,111.62,113.8,111.34,112.26,41471578,41471578
12/12/14,-1.89,-0.077899,-1.6932,109.73,111.87,12-Dec-14,109.58,110.46,AAPL,109.73,111.87,109.58,110.46,56028138,56028138
12/15/14,-1.5,-0.090546,-1.3715,108.23,111.6,15-Dec-14,106.35,110.7,AAPL,108.23,111.6,106.35,110.7,67218082,67218082
